image,article,kind,space,config,algo,n,unique,collapse,n_clusters,noise_frac,top_color,top_frac,recall,hits,n_roles,t_dedup_ms,t_core_ms,t_extract_ms,wall_s,ok,error
Bild_Koeln_02,bild_koeln,original,lab,hdbscan-lg,hdbscan,56576,16010,3.53,7,0.5598,gray,0.271,0.75,3,4,3.3,965.4,0,1.45,1,
Bild_Koeln_02,bild_koeln,original,lab,shdbscan,shdbscan,56576,16010,3.53,8,0.7506,gray,0.144,0.75,3,4,2.3,17657.4,0,18.17,1,
Bild_Koeln_02,bild_koeln,original,lab,soptics,soptics,56576,16010,3.53,5,0.0692,gray,0.913,0.25,1,4,2.4,1991.2,3.1,2.57,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,rgb,optics-thr,optics-threshold,49408,21298,2.32,3,0.0577,red,0.87,0.5,2,4,2.8,336.6,2.9,0.89,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,rgb,optics-xi05,optics-xi,49408,21298,2.32,56,0.2454,orange,0.377,1.0,4,4,3.0,336.9,3.7,0.87,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,rgb,optics-xi01,optics-xi,49408,21298,2.32,144,0.0073,red,0.993,0.25,1,4,2.8,339.0,12.4,0.91,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,rgb,hdbscan-sm,hdbscan,49408,21298,2.32,5,0.365,orange,0.36,1.0,4,4,3.2,1497.5,0,1.9,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,rgb,hdbscan-lg,hdbscan,49408,21298,2.32,4,0.2536,red,0.563,0.75,3,4,2.5,1520.7,0,1.94,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,rgb,shdbscan,shdbscan,49408,21298,2.32,5,0.5541,red,0.322,0.75,3,4,2.8,26902.1,0,27.32,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,rgb,soptics,soptics,49408,21298,2.32,1,0.0797,red,0.92,0.25,1,4,2.8,2868.1,3.5,3.34,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,lab,optics-thr,optics-threshold,49408,21298,2.32,3,0.052,red,0.86,0.5,2,4,2.4,337.9,4.6,0.84,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,lab,optics-xi05,optics-xi,49408,21298,2.32,84,0.5767,black,0.109,0.75,3,4,2.7,345.3,2.7,0.87,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,lab,optics-xi01,optics-xi,49408,21298,2.32,125,0.4681,black,0.129,1.0,4,4,2.5,340.4,3.0,0.86,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,lab,hdbscan-sm,hdbscan,49408,21298,2.32,6,0.42,orange,0.361,1.0,4,4,3.0,1451.4,0,1.88,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,lab,hdbscan-lg,hdbscan,49408,21298,2.32,4,0.3212,orange,0.351,1.0,4,4,2.6,1529.9,0,1.95,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,lab,shdbscan,shdbscan,49408,21298,2.32,4,0.5615,orange,0.18,1.0,4,4,2.9,28429.7,0,28.93,1,
Spiegel_ChatGPT_01,spiegel_chatgpt,original,lab,soptics,soptics,49408,21298,2.32,1,0.0767,red,0.923,0.25,1,4,2.6,2719.3,3.7,3.31,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,rgb,optics-thr,optics-threshold,47872,19457,2.46,3,0.0489,red,0.836,0.5,2,4,2.8,328.5,2.7,0.82,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,rgb,optics-xi05,optics-xi,47872,19457,2.46,51,0.2297,red,0.451,0.75,3,4,2.5,327.4,3.4,0.79,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,rgb,optics-xi01,optics-xi,47872,19457,2.46,136,0.0031,red,0.997,0.25,1,4,2.5,341.7,12.8,0.85,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,rgb,hdbscan-sm,hdbscan,47872,19457,2.46,5,0.4117,red,0.298,0.75,3,4,2.8,1250.1,0,1.66,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,rgb,hdbscan-lg,hdbscan,47872,19457,2.46,4,0.2808,red,0.502,0.75,3,4,2.6,1368.7,0,1.78,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,rgb,shdbscan,shdbscan,47872,19457,2.46,7,0.6957,white,0.094,1.0,4,4,2.7,22035.9,0,22.44,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,rgb,soptics,soptics,47872,19457,2.46,1,0.0756,red,0.924,0.25,1,4,2.7,2342.9,3.1,2.89,1,
